sample_id,source_file,channel,segment_index,segment_start,segment_end,sample_rate,time_resolution,frequency_resolution,freq_min,freq_max,npz_path,png_path,event_count,event_times_s_json,split,label_source,quality_flag
loc_0000000,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,0,0.000000,2.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000000.npz,review/auto/ns/loc_0000000.png,9,"[0.19405899941921234, 0.5360000133514404, 0.7150539755821228, 0.9679999947547913, 1.0180000066757202, 1.4420000314712524, 1.4819999933242798, 1.6380000114440918, 1.7079999446868896]",val,manual_corrected,clean
loc_0000001,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,1,2.000000,4.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000001.npz,review/auto/ns/loc_0000001.png,0,[],,threshold_auto,unchecked
loc_0000002,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,2,4.000000,6.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000002.npz,review/auto/ns/loc_0000002.png,7,"[0.24799999594688416, 0.35346800088882446, 0.4934369921684265, 0.5920000076293945, 0.6256300210952759, 1.6287389993667603, 1.6753950119018555]",val,manual_corrected,clean
loc_0000003,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,3,6.000000,8.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000003.npz,review/auto/ns/loc_0000003.png,3,"[0.40400001406669617, 1.7400000095367432, 1.9559999704360962]",,threshold_auto,unchecked
loc_0000004,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,4,8.000000,10.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000004.npz,review/auto/ns/loc_0000004.png,1,[0.07199999690055847],,threshold_auto,unchecked
loc_0000005,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,5,10.000000,12.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000005.npz,review/auto/ns/loc_0000005.png,1,[0.8960000276565552],,threshold_auto,unchecked
loc_0000006,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,6,12.000000,14.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000006.npz,review/auto/ns/loc_0000006.png,3,"[1.1640000343322754, 1.284000039100647, 1.565999984741211]",,threshold_auto,unchecked
loc_0000007,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,7,14.000000,16.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000007.npz,review/auto/ns/loc_0000007.png,2,"[0.6000000238418579, 0.6200000047683716]",,threshold_auto,unchecked
loc_0000008,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,8,16.000000,18.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000008.npz,review/auto/ns/loc_0000008.png,5,"[0.2759999930858612, 0.38600000739097595, 0.48399999737739563, 1.3960000276565552, 1.9479999542236328]",,threshold_auto,unchecked
loc_0000009,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,9,18.000000,20.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000009.npz,review/auto/ns/loc_0000009.png,0,[],,threshold_auto,unchecked
loc_0000010,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,10,20.000000,22.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000010.npz,review/auto/ns/loc_0000010.png,8,"[0.23800000548362732, 0.621999979019165, 0.6380000114440918, 1.0, 1.0520000457763672, 1.1480000019073486, 1.5354260206222534, 1.899999976158142]",val,manual_corrected,clean
loc_0000011,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,11,22.000000,24.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000011.npz,review/auto/ns/loc_0000011.png,0,[],,threshold_auto,unchecked
loc_0000012,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,12,24.000000,26.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000012.npz,review/auto/ns/loc_0000012.png,1,[1.0820000171661377],,threshold_auto,unchecked
