sample_id,channel,bucket,source_file,segment_start,segment_end,auto_event_count,auto_event_times_s_json,review_status,corrected_event_times_s_json,quality_flag,comment
loc_0002595,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.15.00.bin,30.000000,32.000000,0,[],manual_verified,,,
loc_0005652,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.06.00.bin,24.000000,26.000000,0,[],manual_verified,,,
loc_0002958,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.21.00.bin,36.000000,38.000000,0,[],manual_corrected,"[0.4079, 1.333249, 1.535426, 1.78426, 1.974773]",,
loc_0002233,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.09.00.bin,26.000000,28.000000,0,[],manual_verified,,,
loc_0001047,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.49.00.bin,54.000000,56.000000,0,[],manual_verified,,,
loc_0004570,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.48.00.bin,20.000000,22.000000,0,[],manual_corrected,[1.675395],,
loc_0005174,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.58.00.bin,28.000000,30.000000,0,[],manual_corrected,[1.504322],,
loc_0004647,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.49.00.bin,54.000000,56.000000,0,[],manual_corrected,[1.932004],,
loc_0005644,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.06.00.bin,8.000000,10.000000,0,[],manual_corrected,"[0.213499, 1.554866, 1.589859, 1.628739]",,
loc_0005179,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.58.00.bin,38.000000,40.000000,0,[],manual_verified,,,
loc_0002104,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.07.00.bin,8.000000,10.000000,0,[],manual_verified,,,
loc_0002848,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.19.00.bin,56.000000,58.000000,0,[],manual_verified,,,
loc_0003241,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.26.00.bin,2.000000,4.000000,0,[],manual_corrected,[1.453778],,
loc_0001998,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.05.00.bin,36.000000,38.000000,0,[],manual_corrected,"[0.260156, 0.454557, 0.757822, 1.480994]",,
loc_0003923,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.37.00.bin,46.000000,48.000000,0,[],manual_verified,,,
loc_0000137,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.34.00.bin,34.000000,36.000000,0,[],manual_corrected,"[0.124075, 0.427341, 0.967775]",,
loc_0005527,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.04.00.bin,14.000000,16.000000,0,[],manual_verified,,,
loc_0002188,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.08.00.bin,56.000000,58.000000,0,[],manual_corrected,"[0.435117, 0.699502, 0.936671]",,
loc_0005461,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.03.00.bin,2.000000,4.000000,0,[],manual_corrected,"[0.341804, 0.415676, 0.843359, 1.690947, 1.764819]",,
loc_0004576,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.48.00.bin,32.000000,34.000000,0,[],manual_corrected,"[0.019098, 1.694835, 1.702611, 1.718163, 1.978661]",,
loc_0000487,ns,single,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.40.00.bin,14.000000,16.000000,1,[1.6519999504089355],manual_corrected,"[0.159067, 0.606189, 1.341025, 1.652]",,
loc_0005722,ns,single,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.07.00.bin,44.000000,46.000000,1,[0.699999988079071],manual_corrected,"[0.345692, 0.598413, 0.7, 1.760931]",,
