sample_id,channel,bucket,review_reason,event_count,source_file,segment_start,segment_end,png_path,npz_path
loc_0002595,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.15.00.bin,30.000000,32.000000,ns/empty/loc_0002595.png,samples/loc_0002595.npz
loc_0005652,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.06.00.bin,24.000000,26.000000,ns/empty/loc_0005652.png,samples/loc_0005652.npz
loc_0002958,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.21.00.bin,36.000000,38.000000,ns/empty/loc_0002958.png,samples/loc_0002958.npz
loc_0002233,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.09.00.bin,26.000000,28.000000,ns/empty/loc_0002233.png,samples/loc_0002233.npz
loc_0001047,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.49.00.bin,54.000000,56.000000,ns/empty/loc_0001047.png,samples/loc_0001047.npz
loc_0004570,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.48.00.bin,20.000000,22.000000,ns/empty/loc_0004570.png,samples/loc_0004570.npz
loc_0005174,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.58.00.bin,28.000000,30.000000,ns/empty/loc_0005174.png,samples/loc_0005174.npz
loc_0004647,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.49.00.bin,54.000000,56.000000,ns/empty/loc_0004647.png,samples/loc_0004647.npz
loc_0005644,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.06.00.bin,8.000000,10.000000,ns/empty/loc_0005644.png,samples/loc_0005644.npz
loc_0005179,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.58.00.bin,38.000000,40.000000,ns/empty/loc_0005179.png,samples/loc_0005179.npz
loc_0002104,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.07.00.bin,8.000000,10.000000,ns/empty/loc_0002104.png,samples/loc_0002104.npz
loc_0002848,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.19.00.bin,56.000000,58.000000,ns/empty/loc_0002848.png,samples/loc_0002848.npz
loc_0003241,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.26.00.bin,2.000000,4.000000,ns/empty/loc_0003241.png,samples/loc_0003241.npz
loc_0001998,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.05.00.bin,36.000000,38.000000,ns/empty/loc_0001998.png,samples/loc_0001998.npz
loc_0003923,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.37.00.bin,46.000000,48.000000,ns/empty/loc_0003923.png,samples/loc_0003923.npz
loc_0000137,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.34.00.bin,34.000000,36.000000,ns/empty/loc_0000137.png,samples/loc_0000137.npz
loc_0005527,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.04.00.bin,14.000000,16.000000,ns/empty/loc_0005527.png,samples/loc_0005527.npz
loc_0002188,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.08.00.bin,56.000000,58.000000,ns/empty/loc_0002188.png,samples/loc_0002188.npz
loc_0005461,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.03.00.bin,2.000000,4.000000,ns/empty/loc_0005461.png,samples/loc_0005461.npz
loc_0004576,ns,empty,empty_reference,0,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.48.00.bin,32.000000,34.000000,ns/empty/loc_0004576.png,samples/loc_0004576.npz
loc_0000487,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.40.00.bin,14.000000,16.000000,ns/single/loc_0000487.png,samples/loc_0000487.npz
loc_0005722,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.07.00.bin,44.000000,46.000000,ns/single/loc_0005722.png,samples/loc_0005722.npz
loc_0000905,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.47.00.bin,10.000000,12.000000,ns/single/loc_0000905.png,samples/loc_0000905.npz
loc_0005609,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_18.05.00.bin,58.000000,60.000000,ns/single/loc_0005609.png,samples/loc_0005609.npz
loc_0004695,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.50.00.bin,30.000000,32.000000,ns/single/loc_0004695.png,samples/loc_0004695.npz
loc_0005007,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.55.00.bin,54.000000,56.000000,ns/single/loc_0005007.png,samples/loc_0005007.npz
loc_0003917,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.37.00.bin,34.000000,36.000000,ns/single/loc_0003917.png,samples/loc_0003917.npz
loc_0001753,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.01.00.bin,26.000000,28.000000,ns/single/loc_0001753.png,samples/loc_0001753.npz
loc_0002184,ns,single,single_event_reference,1,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.08.00.bin,48.000000,50.000000,ns/single/loc_0002184.png,samples/loc_0002184.npz
