sample_id,channel,bucket,source_file,segment_start,segment_end,auto_event_count,auto_event_times_s_json,review_status,corrected_event_times_s_json,quality_flag,comment
loc_0001037,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.49.00.bin,34.000000,36.000000,0,[],manual_verified,,,
loc_0001027,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.49.00.bin,14.000000,16.000000,0,[],manual_corrected,"[0.839471, 1.714275]",,
loc_0001022,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.49.00.bin,4.000000,6.000000,0,[],manual_verified,,,
loc_0001021,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.49.00.bin,2.000000,4.000000,0,[],manual_verified,,,
loc_0001020,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.49.00.bin,0.000000,2.000000,0,[],manual_corrected,"[0.901679, 0.959999]",,
loc_0000381,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.38.00.bin,42.000000,44.000000,0,[],manual_corrected,"[0.081307, 1.605411]",,
loc_0000379,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.38.00.bin,38.000000,40.000000,0,[],manual_verified,,,
loc_0000378,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.38.00.bin,36.000000,38.000000,0,[],manual_corrected,"[0.162955, 1.344913]",,
loc_0000377,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.38.00.bin,34.000000,36.000000,0,[],manual_verified,,,
loc_0000369,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.38.00.bin,18.000000,20.000000,0,[],manual_corrected,"[1.045536, 1.274929, 1.325473, 1.893124]",,
loc_0000368,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.38.00.bin,16.000000,18.000000,0,[],manual_corrected,"[0.396236, 0.466221, 1.239937, 1.88146]",,
loc_0000367,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.38.00.bin,14.000000,16.000000,0,[],manual_corrected,[1.220497],,
loc_0003929,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.37.00.bin,58.000000,60.000000,0,[],manual_corrected,[0.905567],,
loc_0003926,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.37.00.bin,52.000000,54.000000,0,[],manual_corrected,"[0.069643, 0.839471, 1.189392]",,
loc_0003916,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.37.00.bin,32.000000,34.000000,0,[],manual_corrected,[0.501213],,
loc_0003901,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.37.00.bin,2.000000,4.000000,0,[],manual_corrected,[0.582861],,
loc_0003564,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.31.00.bin,48.000000,50.000000,0,[],manual_verified,,,
loc_0003562,ns,empty,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_17.31.00.bin,44.000000,46.000000,0,[],manual_corrected,"[0.695614, 0.979439, 1.889236]",,
