verification_id,source_file,channel,segment_index,segment_start_s,segment_end_s,peak_threshold,max_heatmap,mean_heatmap,predicted_event_count,predicted_event_times_inside_s_json,predicted_event_times_absolute_s_json,review_status,corrected_event_count,corrected_event_times_inside_s_json,corrected_event_times_absolute_s_json,quality_flag,comment
Broadband_Data_2026.03.26_21.48.00_ns_seg000,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,0,0.0,2.0,0.25,0.2951667606830597,0.037389546632766724,1,[1.486],[1.486],model_verified,1,[1.486],[1.486],,
Broadband_Data_2026.03.26_21.48.00_ns_seg001,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,1,2.0,4.0,0.25,0.2479924112558365,0.03816160187125206,0,[],[],model_verified,0,[],[],,
Broadband_Data_2026.03.26_21.48.00_ns_seg002,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,2,4.0,6.0,0.25,0.5888299345970154,0.04966317117214203,4,"[0.156, 0.506, 0.54, 1.548]","[4.156, 4.506, 4.54, 5.548]",manual_corrected,2,"[0.15105, 1.545974]","[4.15105, 5.545974]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg003,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,3,6.0,8.0,0.25,0.3876686990261078,0.04380583390593529,3,"[0.41, 1.186, 1.408]","[6.41, 7.186, 7.408]",manual_corrected,0,[],[],,
Broadband_Data_2026.03.26_21.48.00_ns_seg004,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,4,8.0,10.0,0.25,0.2117093950510025,0.03822266682982445,0,[],[],model_verified,0,[],[],,
Broadband_Data_2026.03.26_21.48.00_ns_seg005,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,5,10.0,12.0,0.25,0.9783191084861755,0.05560341477394104,2,"[0.232, 0.906]","[10.232, 10.906]",manual_corrected,2,"[0.232, 0.906]","[10.232, 10.906]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg006,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,6,12.0,14.0,0.25,0.9034971594810486,0.046988118439912796,2,"[0.994, 1.31]","[12.994, 13.31]",manual_corrected,1,[1.305225],[13.305225],,
Broadband_Data_2026.03.26_21.48.00_ns_seg007,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,7,14.0,16.0,0.25,0.9376800060272217,0.04862077534198761,2,"[0.382, 1.624]","[14.382, 15.624]",manual_corrected,2,"[0.381177, 1.627403]","[14.381177, 15.627403]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg008,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,8,16.0,18.0,0.25,0.6322686672210693,0.050769686698913574,3,"[0.17, 1.122, 1.184]","[16.17, 17.122, 17.184]",manual_corrected,2,"[0.172293, 1.121124]","[16.172293, 17.121124]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg009,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,9,18.0,20.0,0.25,0.9986419081687927,0.057033758610486984,3,"[0.06, 0.22, 0.372]","[18.06, 18.22, 18.372]",manual_corrected,3,"[0.06254, 0.218318, 0.370556]","[18.06254, 18.218318, 18.370556]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg010,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,10,20.0,22.0,0.25,0.9852724671363831,0.05285995081067085,3,"[1.244, 1.58, 1.776]","[21.244, 21.58, 21.776]",model_verified,3,"[1.244, 1.58, 1.776]","[21.244, 21.58, 21.776]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg011,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,11,22.0,24.0,0.25,0.9986304044723511,0.045900337398052216,2,"[1.02, 1.852]","[23.02, 23.852]",manual_corrected,1,[1.846909],[23.846909],,
Broadband_Data_2026.03.26_21.48.00_ns_seg012,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,12,24.0,26.0,0.25,0.9778978228569031,0.05113285407423973,2,"[0.708, 1.434]","[24.708, 25.434]",manual_corrected,2,"[0.710436, 1.42914]","[24.710436, 25.42914]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg013,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,13,26.0,28.0,0.25,0.8843992352485657,0.05069660022854805,2,"[0.344, 1.474]","[26.344, 27.474]",manual_corrected,2,"[0.345773, 1.471625]","[26.345773, 27.471625]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg014,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,14,28.0,30.0,0.25,0.3862724006175995,0.03638452664017677,1,[1.98],[29.98],manual_corrected,0,[],[],,
Broadband_Data_2026.03.26_21.48.00_ns_seg015,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,15,30.0,32.0,0.25,0.3919568955898285,0.041474658995866776,2,"[0.178, 1.0]","[30.178, 31.0]",manual_corrected,1,[0.175833],[30.175833],,
Broadband_Data_2026.03.26_21.48.00_ns_seg016,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,16,32.0,34.0,0.25,0.5312202572822571,0.045841362327337265,2,"[1.428, 1.684]","[33.428, 33.684]",manual_corrected,1,[1.414978],[33.414978],,
Broadband_Data_2026.03.26_21.48.00_ns_seg017,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,17,34.0,36.0,0.25,0.3785460293292999,0.03776552155613899,1,[1.384],[35.384],manual_corrected,0,[],[],,
Broadband_Data_2026.03.26_21.48.00_ns_seg018,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,18,36.0,38.0,0.25,0.9754526615142822,0.054380547255277634,4,"[0.228, 1.206, 1.822, 1.954]","[36.228, 37.206, 37.822, 37.954]",manual_corrected,3,"[1.206094, 1.822126, 1.953121]","[37.206094, 37.822126, 37.953121]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg019,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,19,38.0,40.0,0.25,0.37763258814811707,0.04267113283276558,2,"[0.34, 1.58]","[38.34, 39.58]",manual_corrected,1,[1.574297],[39.574297],,
Broadband_Data_2026.03.26_21.48.00_ns_seg020,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,20,40.0,42.0,0.25,0.8302085995674133,0.042248547077178955,1,[0.244],[40.244],manual_corrected,1,[0.239561],[40.239561],,
Broadband_Data_2026.03.26_21.48.00_ns_seg021,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,21,42.0,44.0,0.25,0.42214563488960266,0.03840460255742073,1,[0.544],[42.544],manual_corrected,1,[0.544036],[42.544036],,
Broadband_Data_2026.03.26_21.48.00_ns_seg022,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,22,44.0,46.0,0.25,0.984683096408844,0.04756823554635048,2,"[0.896, 0.948]","[44.896, 44.948]",manual_corrected,2,"[0.890997, 0.944103]","[44.890997, 44.944103]",,
