verification_id,source_file,channel,review_status,predicted_count,corrected_count,count_error,event_tp,event_fp,event_fn,max_heatmap
Broadband_Data_2026.03.26_21.48.00_ns_seg000,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,model_verified,1,1,0,1,0,0,0.2951667606830597
Broadband_Data_2026.03.26_21.48.00_ns_seg001,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,model_verified,0,0,0,0,0,0,0.2479924112558365
Broadband_Data_2026.03.26_21.48.00_ns_seg002,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,4,2,2,2,2,0,0.5888299345970154
Broadband_Data_2026.03.26_21.48.00_ns_seg003,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,3,0,3,0,3,0,0.3876686990261078
Broadband_Data_2026.03.26_21.48.00_ns_seg004,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,model_verified,0,0,0,0,0,0,0.2117093950510025
Broadband_Data_2026.03.26_21.48.00_ns_seg005,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,2,0,2,0,0,0.9783191084861755
Broadband_Data_2026.03.26_21.48.00_ns_seg006,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,1,1,1,1,0,0.9034971594810486
Broadband_Data_2026.03.26_21.48.00_ns_seg007,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,2,0,2,0,0,0.9376800060272217
Broadband_Data_2026.03.26_21.48.00_ns_seg008,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,3,2,1,2,1,0,0.6322686672210693
Broadband_Data_2026.03.26_21.48.00_ns_seg009,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,3,3,0,3,0,0,0.9986419081687927
Broadband_Data_2026.03.26_21.48.00_ns_seg010,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,model_verified,3,3,0,3,0,0,0.9852724671363831
Broadband_Data_2026.03.26_21.48.00_ns_seg011,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,1,1,1,1,0,0.9986304044723511
Broadband_Data_2026.03.26_21.48.00_ns_seg012,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,2,0,2,0,0,0.9778978228569031
Broadband_Data_2026.03.26_21.48.00_ns_seg013,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,2,0,2,0,0,0.8843992352485657
Broadband_Data_2026.03.26_21.48.00_ns_seg014,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,1,0,1,0,1,0,0.3862724006175995
Broadband_Data_2026.03.26_21.48.00_ns_seg015,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,1,1,1,1,0,0.3919568955898285
Broadband_Data_2026.03.26_21.48.00_ns_seg016,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,1,1,1,1,0,0.5312202572822571
Broadband_Data_2026.03.26_21.48.00_ns_seg017,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,1,0,1,0,1,0,0.3785460293292999
Broadband_Data_2026.03.26_21.48.00_ns_seg018,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,4,3,1,3,1,0,0.9754526615142822
Broadband_Data_2026.03.26_21.48.00_ns_seg019,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,1,1,1,1,0,0.37763258814811707
Broadband_Data_2026.03.26_21.48.00_ns_seg020,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,1,1,0,1,0,0,0.8302085995674133
Broadband_Data_2026.03.26_21.48.00_ns_seg021,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,1,1,0,1,0,0,0.42214563488960266
Broadband_Data_2026.03.26_21.48.00_ns_seg022,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,2,0,2,0,0,0.984683096408844
Broadband_Data_2026.03.26_21.48.00_ns_seg023,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,model_verified,0,0,0,0,0,0,0.1674591600894928
Broadband_Data_2026.03.26_21.48.00_ns_seg024,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,model_verified,1,1,0,1,0,0,0.28607502579689026
Broadband_Data_2026.03.26_21.48.00_ns_seg025,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,2,1,1,1,1,0,0.38560205698013306
Broadband_Data_2026.03.26_21.48.00_ns_seg026,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,4,4,0,4,0,0,0.9959107637405396
Broadband_Data_2026.03.26_21.48.00_ns_seg027,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,5,5,0,5,0,0,0.9990946054458618
Broadband_Data_2026.03.26_21.48.00_ns_seg028,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,manual_corrected,1,1,0,1,0,0,0.5000044107437134
