channel,segment_index,segment_start_s,segment_end_s,predicted_event_count,max_heatmap,predicted_event_times_inside_s_json
ns,0,0.0,2.0,2,0.5681543946266174,"[0.75, 1.2419999837875366]"
ns,1,2.0,4.0,5,0.9581936597824097,"[0.11999999731779099, 0.15800000727176666, 0.6000000238418579, 0.6480000019073486, 0.7860000133514404]"
ns,2,4.0,6.0,2,0.4788060784339905,"[0.843999981880188, 1.8960000276565552]"
ns,3,6.0,8.0,1,0.4979628324508667,[1.9019999504089355]
ns,4,8.0,10.0,1,0.6386565566062927,[1.1239999532699585]
ns,5,10.0,12.0,2,0.9018391370773315,"[0.8740000128746033, 1.3300000429153442]"
ns,6,12.0,14.0,1,0.4751850962638855,[0.9940000176429749]
ns,7,14.0,16.0,4,0.7785935997962952,"[0.9079999923706055, 1.4040000438690186, 1.6399999856948853, 1.944000005722046]"
ns,8,16.0,18.0,6,0.9465171694755554,"[0.4880000054836273, 0.8180000185966492, 1.2200000286102295, 1.4299999475479126, 1.4900000095367432, 1.534000039100647]"
ns,9,18.0,20.0,3,0.9691169857978821,"[0.33399999141693115, 0.49000000953674316, 1.1779999732971191]"
ns,10,20.0,22.0,1,0.7797479629516602,[1.4919999837875366]
ns,11,22.0,24.0,4,0.9618127942085266,"[0.21199999749660492, 1.3040000200271606, 1.8639999628067017, 1.899999976158142]"
ns,12,24.0,26.0,3,0.782561182975769,"[0.3319999873638153, 0.6399999856948853, 0.7559999823570251]"
ns,13,26.0,28.0,2,0.8013690114021301,"[0.45399999618530273, 0.6399999856948853]"
ns,14,28.0,30.0,5,0.8213074803352356,"[0.8159999847412109, 0.9179999828338623, 1.6740000247955322, 1.8339999914169312, 1.9019999504089355]"
ns,15,30.0,32.0,3,0.9939788579940796,"[0.03799999877810478, 0.7400000095367432, 1.25]"
ns,16,32.0,34.0,4,0.5097089409828186,"[0.9539999961853027, 1.3819999694824219, 1.4780000448226929, 1.805999994277954]"
ns,17,34.0,36.0,0,0.24966923892498016,[]
ns,18,36.0,38.0,2,0.6276434659957886,"[0.5, 1.034000039100647]"
ns,19,38.0,40.0,2,0.9309674501419067,"[0.5419999957084656, 1.0579999685287476]"
ns,20,40.0,42.0,4,0.48866936564445496,"[0.6019999980926514, 0.6340000033378601, 0.8960000276565552, 1.1160000562667847]"
ns,21,42.0,44.0,3,0.8796095848083496,"[0.03400000184774399, 0.9940000176429749, 1.531999945640564]"
ns,22,44.0,46.0,4,0.9895800948143005,"[0.9539999961853027, 1.5180000066757202, 1.5679999589920044, 1.9220000505447388]"
ns,23,46.0,48.0,4,0.8758504390716553,"[0.14800000190734863, 0.40400001406669617, 0.8759999871253967, 0.9980000257492065]"
ns,24,48.0,50.0,0,0.1540772020816803,[]
ns,25,50.0,52.0,6,0.9769732356071472,"[0.8999999761581421, 0.949999988079071, 1.0579999685287476, 1.1640000343322754, 1.5080000162124634, 1.934000015258789]"
